Establishment_PredictedPowerScore,Establishment_ID,Establishment_Rank,Establishment_Street,Establishment_Name
96.8599474205,99314,1220,SHELBYVILLE ROAD SUITE 102,ZEGGZ MIDDLETOWN
96.8610039884,72420,1221,FRANKFORT AVENUE,J. GUMBO'S ON FRANKFORT AVENUE
96.8622373786,34412,1222,INDIAN TRAIL,COMMUNITY BAPTIST CHURCH SENIOR SEVICES
96.866829884,97757,1223,SHELBYVILLE RD,CHICK-FIL-A MIDDLETOWN COMMONS #3431
96.8697068101,81283,1224,S. 7TH STREET ROAD,EXPO CONCESSIONS (BLDG 5)
96.8707336398,89884,1225,FAIRDALE RD,BLESSED TERESA OF CALCUTTA
96.8711857135,77667,1226,VON ALLMEN COURT,OLIVE GARDEN # 1703
96.871832513,86628,1227,S. FLOYD STREET,CENTERPLATE-FS2
96.8746441193,88830,1228,BARDSTOWN ROAD,PANERA BREAD
96.8756793833,75121,1229,BARDSTOWN ROAD,TACO BELL #22578
96.8769095993,88168,1230,FRANKFORT AVENUE,COALS ARTISAN PIZZA
96.879367313,95317,1231,PHILLIPS LN,KY KINGDOM HURRICANE HATTIES
96.8825618467,98711,1232,BLANKENBAKER PKWY,BROOKDALE BLANKEBAKER A
96.8833604106,82358,1233,KENWOOD DRIVE,DESALES CONCESSION BASKETBALL CONCESSION
96.8868904279,87468,1234,BARDSTOWN ROAD,KASHMIR RESTAURANT
96.8878877636,47890,1235,COLLEGE DRIVE,J-TOWN EAGLES
96.8911679222,98284,1236,PARAMOUNT PARK DR,TACO BELL # 31668
96.8935388613,33116,1237,WESTPORT RD,DOMINO'S PIZZA #1425
96.894307434,34675,1238,SHELBYVILLE ROAD,DAIRY QUEEN
96.8961344366,100441,1239,BRECKENRIDGE LANE,MCDONALD'S
96.8999467106,45074,1240,N. HURSTBOURNE PARKWAY,U.P.S. CAFETERIA
96.9022953965,71102,1241,BARDSTOWN ROAD,MOBY DICK
96.9023789668,96820,1242,BLANKENBAKER PKWY.,NEW CHINA
96.9025927686,74260,1243,CANE RUN ROAD,KFC
96.9078460764,34308,1244,POPLAR LEVEL RD,MOBY DICK INDIAN TRAIL
96.9079759431,74409,1245,SHELBYVILLE ROAD,CHEESECAKE FACTORY
96.9123597954,92029,1246,GREENE WAY,WHITE CASTLE
96.9169433488,83343,1247,S. 4TH STREET,BANQUET KITCHEN
96.917928596,85865,1248,BROWNSBORO ROAD,HEINE BROTHER'S COFFE
